var 1,var 2,var 3,var 4,var 5,var 6,var 7,var 8,var 9,var 10,var 11,var 12,var 13,var 14,var 15,var 16,var 17,var 18,var 19,var 20,var 21,var 22,var 23,var 24,hydropowerAk,irrigation,environment,floodcontrol,hydropowerKp
-0.472947508,0.602555096,-0.293913873,0.777534561,-0.259043085,0.539353203,-0.832794358,0.028277992,0.820755652,0.423583638,0.432987121,0.339800059,0.969248244,0.367932563,0.55130921,0.825493711,0.869501593,0.310628755,0.022170984,0.695039875,0.484746482,0.168892779,0.801694374,0.461313595,44.594.676.565.420.900,0.137999814,0.451960321,0,8.860.488.663.515.680
0.855918261,0.259901055,0.953036637,0.632798203,0.459570924,0.540969254,-0.907684539,0.071614269,-0.542164263,0.434358541,0.819737955,0.136674209,0.96934403,0.358448486,0.726209559,0.82044126,0.325135042,0.194528466,0.030065119,0.695324713,0.98712121,0.171480342,0.909995529,0.34147401,446.912.513.546.377,0.196994007,0.442040624,0,8.882.490.560.155.910
0.760571435,0.152810223,0.769432573,0.832250277,0.469394564,0.459629745,-0.006119713,0.080121495,0.826493011,0.721570181,0.347689285,0.398891808,-0.043009981,0.15820635,0.313564753,0.263967691,0.860537926,0.767049326,0.151790514,0.687498899,0.513203431,0.290448663,0.007542725,0.083562902,44.221.836.245.819.200,0.19049167,0.480113368,0,8.781.465.317.435.660
0.760832447,0.322447456,0.846238301,0.574119691,-0.230964522,0.325939032,-0.621295586,0.68216841,0.917424672,0.203053364,0.352740423,0.391148748,-0.094710273,0.376686689,-0.211976329,0.251656043,0.837987659,0.096502659,0.021894313,0.293853908,0.90194626,0.341066973,0.038968175,0.06085707,44.694.820.534.498.900,0.24210806,0.412942844,0,8.875.812.100.580.250
0.465295726,0.327193781,0.940055085,0.97737293,-0.131662867,0.381427141,-0.703668267,0.760877388,0.839946146,0.284074891,0.729923673,0.856660216,0.40773516,0.203034335,-0.272078617,0.532910934,0.827698887,0.014955471,0.024180896,0.821682934,0.702283542,0.257097102,0.014037731,0.132228161,4.429.141.771.741.250,0.428529972,0.481247048,0,8.758.552.395.647.830
0.733865303,0.061743455,0.769432573,0.832250277,0.477226935,0.459629745,0.009158894,0.080121495,0.826493011,0.721570181,0.347689285,0.398891808,-0.043009981,0.543050517,0.313564753,0.263967691,0.860537926,0.767049326,0.830307448,0.687498899,0.513203431,0.290448663,0.001703514,0.083562902,3.059.848.354.092.800,0.07036803,0.747945205,0,6.027.343.712.932.920
0.649721809,0.176416976,0.363841746,0.91404917,0.782495543,0.196702194,0.593940927,0.566952387,-0.843884009,0.328261586,-0.306959201,0.304443481,-0.580729614,0.095546272,0.199690179,0.247546607,0.347359868,0.212442179,0.13308965,0.663054364,0.280434598,0.056723968,0.633617581,0.434595353,44.803.178.211.407.000,0.081244887,0.416438356,0,8.902.647.368.055.960
0.551538462,0.799422149,0.859945129,0.963492381,0.651913939,0.388776751,-0.834587079,0.728947832,0.882534376,0.272441653,0.815832519,0.792165233,-0.892981384,0.525799379,-0.162846289,0.446055796,0.97347911,0.008352182,0.614141116,0.28884231,0.378101738,0.461693266,0.005243458,0.377695765,4.473.268.448.838.050,0.501862564,0.422390175,0,8.821.612.279.120.750
0.772018748,0.341792649,0.931989119,0.571404826,-0.230964522,0.234580249,-0.859947876,0.063999507,0.920417175,0.202572666,0.825354891,0.831159861,-0.906855935,0.376327955,-0.211976329,0.584451671,0.829133793,0.099373423,0.024100576,0.293853908,0.476923505,0.341066973,0.009142666,0.161359446,4.470.339.855.848.340,0.390564183,0.413509684,0,8.873.914.282.522.170
0.534956725,0.744122459,0.86798186,0.554494221,0.431731718,0.369030589,-0.865968222,0.231230373,0.780549824,0.199380982,0.801297948,0.400053567,-0.976108995,0.328730658,-0.172214585,0.589035178,0.15206806,0.014201222,0.024594429,0.148687462,0.458858216,0.313204794,0.004752764,0.444156034,446.793.441.975.067,0.428932962,0.459990553,0,8.855.724.128.404.510
0.639940664,0.840444682,0.861785034,0.907928375,0.250958271,0.283677496,-0.841203908,0.736634416,0.769087089,0.204191321,0.818186056,0.801934353,-0.82706868,0.434042785,-0.422484603,0.385074893,0.99392493,0.014196904,0.014529043,0.286831986,0.380160345,0.288302378,0.002703575,0.492033227,4.466.550.526.628.700,0.706097601,0.453471894,0,8.790.541.874.835.650
0.478860369,0.90577632,-0.142133586,0.535030986,0.65080176,0.600340432,-0.797214903,0.96583466,-0.891678823,0.155983113,-0.609168125,0.439113075,0.760713491,0.052822843,0.809060802,0.680073754,0.767554413,0.018811793,0.93989208,0.925879989,0.033942005,0.451565093,0.028245821,0.363155226,27.305.326.080.607.800,0.029878012,0.808219178,0,5.356.360.160.725.510
0.855918261,0.259901055,0.953036637,0.632798203,0.459570924,0.540969254,-0.907981492,0.215991977,-0.542164263,0.434358541,0.819737955,0.136674209,0.969242183,0.358448486,0.726209559,0.82044126,0.325135042,0.180815017,0.030065119,0.693498676,0.570307973,0.133130348,0.909995529,0.303179772,4.467.540.871.268.590,0.237481795,0.436561171,0,8.878.188.057.735.540
0.845659684,0.384542749,0.862675247,0.937532729,0.980309583,0.490407376,-0.610411524,0.193967562,0.904197323,0.441836647,0.920824896,0.934404136,0.996256522,0.369773064,-0.136620324,0.820639416,0.925779051,0.019388745,0.018604396,0.727190545,0.957692287,0.167637846,0.031941435,0.855512874,4.462.874.411.579.450,0.45864743,0.421728862,0,8.853.414.157.511.490
0.535726373,0.724097267,0.852035991,0.554494221,-0.434621384,0.579083823,-0.867760567,0.669067108,0.780549824,0.199380982,0.802627307,0.801987232,-0.888227563,0.380067286,-0.172214585,0.379082404,0.93088805,0.014277293,0.024520881,0.161582534,0.390951963,0.28914353,0.001481432,0.428810078,4.454.202.221.467.740,0.659425927,0.470382617,0,8.771.519.363.165.910
0.536470875,0.74501658,0.851959233,0.532863356,0.407126635,0.359885194,-0.878330536,0.017765808,0.777927665,0.199380982,0.801902577,0.862587554,-0.941135399,0.359148748,-0.172214585,0.372085493,0.977329984,0.014277293,0.022068025,0.260196793,0.327083176,0.312375393,0.001725299,0.394275415,4.466.423.686.823.610,0.703322091,0.461313179,0,878.430.209.831.213
0.468391396,0.799214152,0.851534,0.943323962,0.998072567,0.352876418,-0.915271363,0.709089283,0.838660943,0.304844928,0.807768301,0.801963082,0.513111804,0.383264987,-0.173022065,0.308443096,0.99945752,0.014817287,0.008490283,0.345951053,0.559304506,0.21516277,0.010060797,0.718975625,443.089.169.594.291,0.663332985,0.480018895,0,8.717.910.735.023.020
0.534271702,0.342953901,0.940055085,0.97737293,0.355042004,0.54648572,-0.705161822,0.713863439,0.839946146,0.284897934,0.729923673,0.856660216,0.773176646,0.479423407,-0.276499975,0.530924073,0.788185963,0.009727778,0.01638765,0.820802677,0.729492587,0.257199148,0.020990437,0.130211451,4.468.433.281.160.150,0.459523215,0.42994804,0,884.045.930.182.683
0.534956725,0.724412058,0.867985318,0.538829371,0.464802116,0.408214035,-0.864988103,0.053161708,0.780549824,0.199380982,0.801297948,0.400053567,-0.989370027,0.328730658,-0.170516337,0.531202036,0.15206806,0.014201222,0.089628199,0.148687462,0.455129699,0.313204794,0.011484041,0.444156034,4.468.256.363.514.010,0.385130149,0.457723193,0,8.859.281.667.237.270
0.476808095,0.322270749,0.919187619,0.44211248,-0.296313932,0.326823241,-0.652792273,0.675437564,0.919493023,0.137279165,0.935644599,0.77451024,-0.708626153,0.357476668,-0.280583313,0.595621823,0.840991214,0.020500907,0.028834061,0.192667251,0.758944096,0.341995651,0.0354416,0.1522467,3.685.949.598.011.500,0.350983048,0.649315068,0,7.149.389.169.885.510
0.594963546,0.830520811,0.831661645,0.889897515,-0.258367269,0.283677496,-0.838695026,0.159669658,0.768993238,0.206015235,0.728294558,0.801934353,-0.872912708,0.437307415,-0.423313335,0.385074893,0.969315247,0.014243751,0.014529043,0.286831986,0.335422437,0.288302378,0.002407867,0.475352834,4.467.844.964.599.930,0.719325938,0.449031649,0,8.786.965.975.718.730
0.466228834,0.329500451,0.88921631,0.554671373,-0.136918676,0.326261766,-0.968153862,0.161182217,0.967233945,0.169576712,0.802617681,0.293628166,-0.890140413,0.393196437,-0.248457849,0.562133549,0.836329918,0.020130206,0.006547866,0.293762498,0.482398753,0.34617638,0.03375955,0.14602967,36.182.967.446.867.000,0.405560938,0.654794521,0,6.981.779.688.903.700
0.754103691,0.933097746,0.870229295,0.559337136,-0.58420407,0.40120828,-0.876944418,0.02774503,0.766044392,0.200092663,0.812361539,0.865063795,0.020823456,0.208870203,-0.355970073,0.077601679,0.977591725,0.021034079,0.018399481,0.178043265,0.378303724,0.368962294,0.207749308,0.740575045,4.467.038.356.315.750,0.599341012,0.453282948,0,8.812.412.439.152.990
0.538626784,0.347713315,0.848733693,0.572779875,-0.128626815,0.323823935,-0.707187718,0.630895573,0.767642193,0.166346783,0.802617681,0.802325385,0.390525572,0.376686689,-0.216313737,0.580168083,0.996208434,0.015107082,0.017716483,0.198522835,0.744794153,0.353855233,0.893251145,0.150446361,44.600.380.650.455.200,0.29293994,0.464714218,0,883.916.574.814.855
0.480264594,0.338411236,0.842439676,0.483933352,-0.404889274,0.325773624,-0.952443707,0.636544079,0.840440595,0.138510126,0.802576069,0.952877228,0.365004124,0.316326246,-0.323306682,0.579946505,0.84883573,0.01537793,0.017719453,0.166374,0.744794153,0.341995651,0.850055144,0.146728825,40.650.207.781.063.800,0.266458118,0.556164384,0,7.968.327.762.070.370
0.535078804,0.744122459,0.867795356,0.554494221,-0.287090924,0.35556247,-0.867798329,0.039198847,0.780549824,0.199380982,0.803460951,0.844264579,-0.888227563,0.402893358,-0.281703381,0.394243369,0.917234145,0.014277293,0.024520881,0.16159,0.380031042,0.284488832,0.033427731,0.428137637,4.454.639.074.866.640,0.648143759,0.470571564,0,877.327.707.232.411
0.480070985,0.342001898,0.834047054,0.572779875,-0.230964522,0.325925161,-0.938403184,0.629289424,0.929586097,0.16730656,0.802617681,0.831374316,0.390525572,0.376686689,-0.248457849,0.582421013,0.819125377,0.015107082,0.016458278,0.293139097,0.752166492,0.341995651,0.032932708,0.280537154,3.747.062.508.554.090,0.389036388,0.624657534,0,7.285.934.641.465.480
0.528551709,0.332389098,0.940055085,0.987247156,-0.132047063,0.382382008,-0.703668267,0.745558342,0.839946146,0.284897934,0.819910965,0.856681687,-0.018477349,0.350027825,-0.276788502,0.530924073,0.969482587,0.01320987,0.044659221,0.820802677,0.700965841,0.311997719,0.028229402,0.313933641,4.467.179.661.647.350,0.460567042,0.434010392,0,8.832.103.822.964.200
0.47969993,0.351480194,0.914603643,0.611827991,-0.404889274,0.325773624,-0.706428503,0.619979162,0.8404002,0.138510126,0.802617681,0.952877228,0.36746635,0.316326246,-0.323306682,0.394015763,0.995739505,0.01537793,0.017719453,0.166374,0.744794153,0.287195725,0.000178046,0.146728825,40.521.676.311.954.400,0.432139355,0.561643836,0,7.905.580.858.825.630
