,nfe,improvements
0,100,26
1,200,35
2,300,44
3,400,58
4,500,73
5,600,94
6,700,104
7,800,126
8,900,143
9,1000,153
10,1100,165
11,1200,178
12,1300,192
13,1400,208
14,1500,221
15,1600,231
16,1700,240
17,1800,247
18,1900,255
19,2000,268
20,2100,279
21,2200,291
22,2300,302
23,2400,312
24,2500,324
25,2600,342
26,2700,357
27,2800,367
28,2900,380
29,3000,394
30,3100,409
31,3200,426
32,3300,440
33,3400,452
34,3500,460
35,3600,472
36,3700,484
37,3800,496
38,3900,502
39,4000,514
40,4100,532
41,4200,543
42,4300,559
43,4400,567
44,4500,586
45,4600,600
46,4700,622
47,4800,631
48,4900,646
49,5000,668
50,5100,685
51,5200,704
52,5300,723
53,5400,741
54,5500,754
55,5600,764
56,5700,780
57,5800,798
58,5900,812
59,6000,828
60,6100,848
61,6200,874
62,6300,898
63,6400,917
64,6500,935
65,6600,951
66,6700,967
67,6800,980
68,6900,996
69,7000,1006
70,7100,1020
71,7200,1029
72,7300,1046
73,7400,1058
74,7500,1072
75,7600,1083
76,7700,1095
77,7800,1104
78,7900,1117
79,8000,1129
80,8100,1139
81,8200,1157
82,8300,1172
83,8400,1185
84,8500,1196
85,8600,1206
86,8700,1223
87,8800,1233
88,8900,1246
89,9000,1254
90,9100,1263
91,9200,1269
92,9300,1280
93,9400,1284
94,9500,1293
95,9600,1307
96,9700,1320
97,9800,1334
98,9900,1353
99,10462,1366
100,11078,1381
101,11694,1412
102,12310,1452
103,12926,1499
104,13542,1539
105,14158,1594
106,14774,1650
107,15390,1704
108,16006,1771
109,16622,1827
110,17238,1906
111,17854,1972
112,18470,2027
113,19086,2089
114,19702,2162
115,20318,2223
116,20934,2289
117,21550,2350
118,22166,2406
119,22782,2462
120,23398,2518
121,24014,2578
122,24630,2630
123,25246,2684
124,25862,2732
125,26478,2776
126,27094,2819
127,27710,2866
128,28326,2908
129,28942,2952
130,29558,2990
131,30174,3027
132,30790,3072
133,31406,3112
134,32022,3147
135,32638,3181
136,33254,3216
137,33870,3243
138,34486,3278
139,35102,3306
140,35718,3341
141,36334,3371
142,36950,3400
143,37566,3423
144,38182,3459
145,38798,3490
146,39414,3522
147,40030,3541
148,40646,3575
149,41262,3594
150,41878,3624
151,42494,3644
152,43110,3661
153,43726,3684
154,44342,3708
155,44958,3729
156,45574,3753
157,46190,3771
158,46806,3786
159,47422,3806
160,48038,3826
161,48654,3842
162,49270,3857
163,49886,3870
164,50502,3876
